publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2021-06-20,高端腸病毒疫苗新消息! 腸病毒71型疫苗第三期解盲成功!｜[直播回放]20210620｜三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '高端', '疫苗', '腸病毒', '解盲']",三立LIVE新聞,16872,203,20,0,23
2021-06-20,#三立最新  醫護看護病患共13確診! 804醫院爆院內感染擴大 部分檢驗結果今出爐│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '醫護看護', '804醫院', '院內感染']",三立LIVE新聞,10053,37,22,0,19
2021-06-20,#三立最新 以時速902公里飆速!美贈250萬莫德納快到了! 預計16:30提前抵桃機 指揮官陳時中將親接機│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '莫德納', '桃機']",三立LIVE新聞,4819,63,4,0,24
2021-06-20,大雨襲南台 屏東騎士水中行車 台南永康睡夢中淹大水 原來是箱涵排水功能受阻 │記者 朱俊傑 王紹宇 朱怡蓉│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '豪雨', '永康', '淹水', '箱涵', '施工', '排水']",三立LIVE新聞,3110,2,1,0,3
2021-06-20,"#三立最新  港府無理政治打壓!台駐港辦7人拒簽""一中承諾書""今午返台 陸委會嚴正譴責│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '港府', '駐港', '台駐港辦', '一中承諾書', '返台', '陸委會']",三立LIVE新聞,11541,108,19,0,151
2021-06-20,#三立最新 福大命大! 蘇花近百公斤巨石滾落 2車急閃躲一劫碎石砸車身 │ 記者 夏邦明│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '蘇花', '落石', '車主', '驚魂', '閃避']",三立LIVE新聞,3560,13,0,0,1
2021-06-20,新北本土+44 ! 新北家庭群聚感染占5成 不明染源3成 陽性率1.3% 侯友宜呼籲熱區民眾出來篩檢 | 【直播回放】20210620 | 三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '陳時中', '指揮中心', '莫德納', '疫苗', '美國', '真朋友', '施打', '接種', '順序']",三立LIVE新聞,3444,19,10,0,6
2021-06-20,#三立最新 打疫苗猝死今+18 全台累計67例 莊人祥:9例司法相驗 1例驗出確診│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ', '疫苗', '慢性病', '心血管疾病', 'COVID19']",三立LIVE新聞,1686,9,8,0,3
2021-06-20,"嚇人! 雙腿竟冒紫紅色血洞! 網曝長輩打完疫苗2天後出現""這現象""醫確認:疫苗副作用│記者 張綺云│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '紫紅色血洞', '長輩', '疫苗']",三立LIVE新聞,38255,163,16,0,62
2021-06-20,"美國真朋友!提供""250萬劑""疫苗 今日傍晚即將抵台 本土今日新增107  CDC呼籲民眾踴躍接種疫苗!| 【直播回放】20210620 | 三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '陳時中', '指揮中心', '莫德納', '疫苗', '美國', '真朋友', '施打', '接種', '順序']",三立LIVE新聞,21232,191,17,0,56
